"clinic_name","clinic_addr_line1","clinic_suite","clinic_addr_line2","clinic_city_desc","clinic_state_desc","clinic_zip","county_desc","total_volume_ordered","most_recent_order_date","georeferenced_latitude_longitude","total_pfizer_ordered","total_moderna_ordered","total_janssen_ordered"
"GIANT PHARMACY-6427","315 N YORK ROAD",,,"Willow Grove","Pennsylvania","19090","Montgomery",,,"POINT (-75.115844 40.146541)",,,
"RITE AID STORE #02768","54 NORTH MAIN STREET",,,"CARBONDALE","Pennsylvania","18407","Lackawanna",,,"POINT (-75.501494 41.573878)",,,
"Giant Eagle Pharmacy-66","2650 Constitution Blvd.",,,"Beaver Falls","Pennsylvania","15010","Beaver",,,"POINT (-80.379079 40.775465)",,,
"Walmart Store #2008","1566 W MAIN STREET EXT",,,"GROVE CITY","Pennsylvania","16127","Mercer",,,"POINT (-80.11335 41.169425)",,,
"CVS/pharmacy17279","4801 McKnight Rd","Suite 3",,"Pittsburgh","PA","152373423","Allegheny",,,"POINT (-80.0055 40.523808)",,,
"Monongahela Valley Hospital","1163 Country Club Road",,,"Monongahela","Pennsylvania","15063","Washington","1170","2021-04-13T00:00:00.000","POINT (-79.916276 40.181578)",,,
"RITE AID STORE #04415","14 FIFTH STREET",,,"WILLIAMSPORT","Pennsylvania","17701","Lycoming",,,"POINT (-77.004079 41.243659)",,,
"Sav-On Pharmacy-Flourtown","1640 Bethlehem Pike",,,"Flourtown","Pennsylvania","19031","Montgomery",,,"POINT (-75.213535 40.106934)",,,
"CVS/pharmacy01584","555 East Main Street",,,"Nanticoke","Pennsylvania","18634","Luzerne",,,"POINT (-75.993164 41.206148)",,,
"RITE AID STORE #11060","205 CENTER STREET",,,"TAMAQUA","Pennsylvania","18252","Schuylkill",,,"POINT (-75.968228 40.794871)",,,
"GIANT PHARMACY-6446","4655 PERKIOMEN AVENUE",,,"READING","PA","19606","Berks",,,"POINT (-75.862614 40.30735)",,,
"RITE AID STORE #03611","455-K NORTH ENOLA ROAD",,,"ENOLA","Pennsylvania","17025","Cumberland",,,"POINT (-76.927421 40.300549)",,,
"CVS/pharmacy02115","1332 Main St.",,,"Hellertown","Pennsylvania","18055","Northampton",,,"POINT (-75.340896 40.588303)",,,
"Walmart Store #3412","200 KOCHER LN",,,"ELIZABETHVILLE","Pennsylvania","17023","Dauphin",,,"POINT (-76.789605 40.555529)",,,
"Wegmans Pharmacy #126","100 Applied Bank Blvd.",,,"Glen Mills","PA","19342","Delaware",,,"POINT (-75.541455 39.87534)",,,
"Darlings Oil City Pharmacy","811 Grandview Rd Ste 200",,,"Oil City","Pennsylvania","16301","Venango",,,"POINT (-79.688285 41.441355)",,,
"CVS/pharmacy01611","1101 Moosic Street",,,"Scranton","Pennsylvania","18505","Lackawanna",,,"POINT (-75.649372 41.396588)",,,
"RITE AID STORE #00246","337 WEST CHOCOLATE AVENUE",,,"HERSHEY","Pennsylvania","17033","Dauphin",,,"POINT (-76.657264 40.283018)",,,
"CVS Pharmacy # 2880","901 Bristol Pike",,,"Croydon","Pennsylvania","19021","Bucks",,,"POINT (-74.905538 40.094112)",,,
"MARTINS PHARMACY-6308","1570 OAKLAND AVE",,,"Indiana","Pennsylvania","15701","Indiana","100","2021-04-13T00:00:00.000","POINT (-79.172406 40.614732)",,,
"RITE AID STORE #00866","501 SOUTH 29TH ST STE A",,,"HARRISBURG","Pennsylvania","17104","Dauphin",,,"POINT (-76.84129 40.267215)",,,
"Sams Club Store #4994","6520 Carlisle Pike","250",,"Mechanicsburg","Pennsylvania","17050","Cumberland",,,"POINT (-77.023932 40.246394)",,,
"RITE AID STORE #00517","40-42 WEST MARKET STREET",,,"YORK","Pennsylvania","17401","York",,,"POINT (-76.729119 39.962032)",,,
"RITE AID STORE #06778","27 N 7th Street","Ste. 100",,"Allentown","Pennsylvania","18101","Lehigh",,,"POINT (-75.472055 40.603058)",,,
"Weis Pharmacy-5","2400 E. Market Street",,,"York","PA","17402","York",,,"POINT (-76.67935 39.974307)",,,
"RITE AID STORE #00992","320 EAST LINCOLN HIGHWAY",,,"COATESVILLE","Pennsylvania","19320","Chester",,,"POINT (-75.819277 39.983816)",,,
"KRHC-Cameron County HC-MAIN","90 East 2nd Street",,,"Emporium","Pennsylvania","15834","Cameron","200","2021-04-13T00:00:00.000","POINT (-78.23558 41.510155)",,,
"VDI-Ferri Pharmacy","3907 Old William Penn Hwy",,,"Murrysville","Pennsylvania","15668","Westmoreland",,,"POINT (-79.697239 40.428342)",,,
"CVS/pharmacy05710","285 St Rt #288",,,"Ellwood City","Pennsylvania","16117","Lawrence",,,"POINT (-80.258784 40.846367)",,,
"Modnur Prescription Pharmacy Inc","52 Keefer Dr",,,"Mercersburg","Pennsylvania","17236","Franklin",,,"POINT (-77.900284 39.840112)",,,
"Sav-On Pharmacy-Glen Mills","101 Byers Drive",,,"Glen Mills","Pennsylvania","19342","Delaware",,,"POINT (-75.52784 39.883758)",,,
"RITE AID STORE #10900","700 STEVENSON BLVD.",,,"NEW KENSINGTON","Pennsylvania","15068","Westmoreland",,,"POINT (-79.755007 40.56403)",,,
"Pottstown Discount Pharmacy","1501 E HIGH ST",,,"Pottstown","Pennsylvania","19464","Montgomery",,,"POINT (-75.615101 40.244049)",,,
"Giant Eagle Pharmacy-54","1606 North Center Avenue",,,"Somerset","Pennsylvania","15501","Somerset",,,"POINT (-79.075239 40.036589)",,,
"VDI-DePietros Pharmacy","617 3rd Street",,,"Dunmore","Pennsylvania","18512","Lackawanna","200","2021-04-13T00:00:00.000","POINT (-75.634095 41.415683)",,,
"Weis Pharmacy-7","553-555 Mahoning Street",,,"Milton","PA","17847","Northumberland",,,"POINT (-76.84489 41.011526)",,,
"CVS/pharmacy02784","857 West Baltimore Pike",,,"West Grove","Pennsylvania","19390","Chester",,,"POINT (-75.876783 39.823997)",,,
"Weis Pharmacy-158","695 North Courtland Street",,,"East Stroudsburg","PA","18301","Monroe",,,"POINT (-75.182512 41.017894)",,,
"Giant Eagle Pharmacy-2424","1300 Country Club Road",,,"Monongahela","Pennsylvania","15063","Washington",,,"POINT (-79.916074 40.171721)",,,
"RITE AID STORE #11142","128 AIRPORT ROAD",,,"COATESVILLE","Pennsylvania","19320","Chester",,,"POINT (-75.868959 39.985246)",,,
"Walgreens Store # 11560","949 Lincoln Way E.",,,"Chambersburg","Pennsylvania","17201","Franklin",,,"POINT (-77.6438 39.931589)",,,
"RITE AID STORE #00170","128 N COURTLAND STREET",,,"EAST STROUDSBURG","Pennsylvania","18301","Monroe",,,"POINT (-75.183088 41.002307)",,,
"VDI-Harrisburg Pharmacy","2645 North 3rd St",,,"Harrisburg","Pennsylvania","17110","Dauphin",,,"POINT (-76.899494 40.287121)",,,
"GIANT PHARMACY-6321","859 NAZARETH PIKE",,,"NAZARETH","PA","18064","Northampton",,,"POINT (-75.314175 40.730169)",,,
"CVS/pharmacy02552","702 Chester Pike",,,"Prospect Park","Pennsylvania","19076","Delaware",,,"POINT (-75.303879 39.884077)",,,
"AHN-Canonsburg Hospital","100 Medical Blvd",,,"Canonsburg","Pennsylvania","15317","Washington","1170","2021-04-13T00:00:00.000","POINT (-80.190434 40.248477)",,,
"University of Pittsburgh","Peterson Events Center","_","3719 Terrace Street","Pittsburgh","Pennsylvania","15261","Allegheny","500","2021-04-13T00:00:00.000",,,,
"Johnsons Pharmaceutical Srvs-W Mifflin","2000 CLAIRTON RD",,,"West Mifflin","Pennsylvania","15122","Allegheny",,,"POINT (-79.936288 40.335236)",,,
"Wegmans Pharmacy #077","220 Highland Park Blvd.",,,"Wilkes-Barre","PA","18702","Luzerne",,,"POINT (-75.861409 41.234593)",,,
"RITE AID STORE #01981","2604 LINGLESTOWN ROAD",,,"HARRISBURG","Pennsylvania","17110","Dauphin",,,"POINT (-76.855839 40.329971)",,,
"The Hometown Pharmacy-New Castle 2","2016 W STATE ST",,,"New Castle","Pennsylvania","16101","Lawrence","200","2021-04-13T00:00:00.000","POINT (-80.379022 41.006967)",,,
"PROVIDENCE SQUARE HOME-POST ACUTE SRVS","831 PROVIDENCE RD","Ste. 1",,"Clifton Heights","Pennsylvania","19018","Delaware",,,"POINT (-75.299876 39.918651)",,,
"RITE AID STORE #01566","327 NORTH CHESTER PIKE",,,"GLENOLDEN","Pennsylvania","19036","Delaware",,,"POINT (-75.283769 39.903185)",,,
"CVS/pharmacy01625","1565 W.Harrisburg Pike",,,"Middletown","Pennsylvania","17057","Dauphin",,,"POINT (-76.756024 40.198898)",,,
"RITE AID STORE #11011","600 CHESTNUT AVENUE",,,"ALTOONA","Pennsylvania","16601","Blair",,,"POINT (-78.396126 40.520612)",,,
"GIANT PHARMACY-6310","830 NORTH US 15",,,"DILLSBURG","PA","17019","York",,,"POINT (-77.020421 40.13036)",,,
"The Medicine Shoppe-Latrobe","709 Ligonier Street",,,"Latrobe","Pennsylvania","15650","Westmoreland",,,"POINT (-79.385532 40.317125)",,,
"AHN-Jefferson Regional Hospital","Pharmacy Department",,"565 Coal Valley Road","Jefferson Hills","Pennsylvania","15025","Allegheny","1170","2021-04-13T00:00:00.000",,,,
"GIANT PHARMACY-6314","216 EAST FAIRMOUNT ST",,,"COOPERSBURG","PA","18036","Lehigh",,,"POINT (-75.38429 40.51594)",,,
"CVS/pharmacy04133","520 Penn Ave",,,"Wilkinsburg","Pennsylvania","15221","Allegheny",,,"POINT (-79.886314 40.444202)",,,
"Sams Club Store #6581","921 VIEWMONT DR",,,"SCRANTON DICKSON CI","Pennsylvania","18519","Lackawanna",,,"POINT (-75.646266 41.454786)",,,
"GIANT PHARMACY-6512","310 S HENDERSON ROAD",,,"KING OF PRUSSIA","PA","19406","Montgomery",,,"POINT (-75.360141 40.090855)",,,
"Dallastown Medical Associates LLP","1010 Blymire Road",,,"Dallastown","Pennsylvania","17313","York","800","2021-04-13T00:00:00.000","POINT (-76.647682 39.888037)",,,
"Guthrie Clinic Athens","412 South Main Street",,,"Athens","Pennsylvania","18810","Bradford","100","2021-04-13T00:00:00.000","POINT (-76.518271 41.956883)",,,
"Conemaugh Miners Medical Center","290 Haida Ave",,,"Hastings","Pennsylvania","16646","Cambria","100","2021-04-13T00:00:00.000","POINT (-78.705799 40.658913)",,,
"Armstrong County Memorial Hospital","1 NOLTE DR",,,"Kittanning","Pennsylvania","16201","Armstrong","3170","2021-04-13T00:00:00.000","POINT (-79.562335 40.812095)",,,
"RITE AID STORE #11089","1 ICE CREAM ALLEY",,,"NEWTOWN","Pennsylvania","18940","Bucks",,,,,,
"Weis Pharmacy-164","1321 Blue Valley Drive",,,"Pen Argyl","Pennsylvania","18072","Northampton",,,"POINT (-75.236443 40.87292)",,,
"AHOLD USA-GIANT PHARMACY-6287","1000 SCOTT TOWN CENTER",,,"BLOOMSBURG","PA","17815","Columbia",,,"POINT (-76.435938 41.005763)",,,
"RITE AID STORE #11059","1241 BLAKESLEE BLVD. DR. S#2",,,"LEHIGHTON","Pennsylvania","18235","Carbon",,,"POINT (-75.732829 40.815924)",,,
"Lebanon Community Health Center","920 Church St",,,"Lebanon","Pennsylvania","17046","Lebanon","200","2021-04-13T00:00:00.000","POINT (-76.42776 40.344531)",,,
"Walgreens Store # 10282","30 Pine Creek Rd.",,,"Wexford","Pennsylvania","15090","Allegheny",,,"POINT (-80.043468 40.586808)",,,
"Freeland Pharmacy","611 Centre Street","204",,"Freeland","Pennsylvania","18224","Luzerne",,,"POINT (-75.897539 41.017731)",,,
"Weis Pharmacy-198","11798 Route 6",,,"Wellsboro","PA","16901","Tioga",,,"POINT (-77.267367 41.743845)",,,
"CVS/pharmacy06042","3210 Carlisle Road",,,"Dover","Pennsylvania","17315","York",,,"POINT (-76.825147 39.984294)",,,
"Weis Pharmacy-159","1070 N. Ninth Street",,,"Stroudsburg","PA","18360","Monroe",,,"POINT (-75.21832 40.989153)",,,
"RITE AID STORE #11114","696 STONEY HILL ROAD",,,"YARDLEY","Pennsylvania","19067","Bucks",,,,,,
"RITE AID STORE #11069","1777 NORTH KEYSER AVENUE",,,"SCRANTON","Pennsylvania","18508","Lackawanna",,,"POINT (-75.667881 41.44532)",,,
"Walmart Store #3514","50 FOSTER BROOK BLVD",,,"BRADFORD","Pennsylvania","16701","McKean",,,"POINT (-78.61178 41.979151)",,,
"Sams Club Store #6679","2251 CENTURY DR",,,"WEST MIFFLIN","Pennsylvania","15122","Allegheny",,,"POINT (-79.948755 40.344782)",,,
"GIANT PHARMACY-6094","471 S OXFORD VALLEY ROAD",,,"FAIRLESS HILLS","PA","19030","Bucks",,,"POINT (-74.85226 40.171296)",,,
"CVS/pharmacy02867","1937 MacDade Boulevard",,,"Folsom","Pennsylvania","19033","Delaware",,,"POINT (-75.314247 39.896208)",,,
"Laurel Pediatric Associates Inc","323 Budfield Street",,,"Johnstown","Pennsylvania","15904","Cambria","100","2021-04-13T00:00:00.000","POINT (-78.845889 40.268908)",,,
"CVS/pharmacy02951","104 N Pottstown Pike",,,"Chester Springs","Pennsylvania","19425","Chester",,,"POINT (-75.687778 40.077651)",,,
"Weis Pharmacy-226","719 Route 522",,,"Selinsgrove","PA","17870","Snyder",,,"POINT (-76.864729 40.810178)",,,
"Primecare Pharmacy Services Inc","310 adams Avenue",,,"Scranton","Pennsylvania","18503","Lackawanna",,,"POINT (-75.660694 41.408576)",,,
"CVS/Pharnacy 16966","3400 Wilkes-Barre Township Commons",,,"Wilkes Barre","Pennsylvania","18702","Luzerne",,,"POINT (-75.84433 41.24163)",,,
"RITE AID STORE #04682","100 WILLIAM MARKS DRIVE",,,"MUNHALL","Pennsylvania","15120","Allegheny",,,"POINT (-79.903398 40.409881)",,,
"RITE AID STORE #10933","1956 GREENTREE ROAD",,,"PITTSBURGH","Pennsylvania","15220","Allegheny",,,"POINT (-80.066315 40.395218)",,,
"RITE AID STORE #11112","3120 CHICHESTER AVENUE",,,"BOOTHWYN","Pennsylvania","19061","Delaware",,,"POINT (-75.441834 39.834493)",,,
"CVS/pharmacy00675","159 N MacDade Blvd",,,"Glenolden","Pennsylvania","19036","Delaware",,,"POINT (-75.286956 39.907414)",,,
"Meadville Medical Center","751 Liberty Street",,,"Meadville","Pennsylvania","16335","Crawford","1170","2021-04-13T00:00:00.000","POINT (-80.146336 41.641788)",,,
"RITE AID STORE #07850","620 E ALLEGHENY AVENUE",,,"EMPORIUM","Pennsylvania","15834","Cameron",,,"POINT (-78.223836 41.509004)",,,
"CVS Pharmacy # 2730","342 North Lewis Road",,,"Royersford","Pennsylvania","19468","Montgomery",,,"POINT (-75.535724 40.197007)",,,
"CVS/pharmacy07189","755 Durham Road",,,"Wrightstown","Pennsylvania","18940","Bucks",,,"POINT (-74.992573 40.278788)",,,
"RITE AID STORE #10939","4411 HOWLEY STREET",,,"PITTSBURGH","Pennsylvania","15224","Allegheny",,,"POINT (-79.952363 40.464385)",,,
"Weis Pharmacy-200","30 Primrose Lane",,,"East Berlin","PA","17316","Adams",,,"POINT (-76.979607 39.924961)",,,
"Walgreens Store # 9676","99 Jefferson Ave.",,,"Washington","Pennsylvania","15301","Washington",,,"POINT (-80.251761 40.171249)",,,
"Giant Eagle Pharmacy-52","132 Ben Avon Heights Road",,,"Pittsburgh","Pennsylvania","15237","Allegheny",,,"POINT (-80.070318 40.522928)",,,
"Giant Eagle Pharmacy-62","111 West Madison Street",,,"Rochester","Pennsylvania","15074","Beaver",,,"POINT (-80.28853 40.702417)",,,
"Giant Eagle Pharmacy-67","8080 McIntyre Square Drive",,,"Pittsburgh","Pennsylvania","15237","Allegheny",,,"POINT (-80.017436 40.555768)",,,
"Spartan Pharmacy Clairton Blvd","3520 Clairton Blvd",,,"Pittsburgh","Pennsylvania","15227","Allegheny","1300","2021-04-13T00:00:00.000","POINT (-79.982054 40.372903)",,,
"RITE AID STORE #11054","361 S. CEDAR CREST BLVD",,,"ALLENTOWN","Pennsylvania","18103","Lehigh",,,"POINT (-75.522343 40.582561)",,,
"Brockie Pharmatech at Pleasant Acres","118 Pleasant Acres Rd",,,"York","Pennsylvania","17402","York",,,"POINT (-76.648179 39.988676)",,,
"RITE AID STORE #01854","1709 LIBERTY STREET",,,"ERIE","Pennsylvania","16502","Erie",,,"POINT (-80.095361 42.112838)",,,
"Giant Eagle Pharmacy-4008","223 Grove City Rd.",,,"Slippery Rock","Pennsylvania","16057","Butler",,,"POINT (-80.051839 41.070254)",,,
"RITE AID STORE #06733","503 CLIFTON ROAD",,,"Bethel Park","Pennsylvania","15102","Allegheny",,,"POINT (-80.064689 40.311975)",,,
"AHOLD USA-GIANT PHARMACY 6043","1880 LEITHSVILLE RD",,,"HELLERTOWN","PA","18055","Northampton",,,"POINT (-75.339414 40.562858)",,,
"Weis Pharmacy-232","73 Old Dublin Pike",,,"Doylestown","PA","18901","Bucks",,,"POINT (-75.13275 40.323286)",,,
"Weis Pharmacy-184","61 King's Plaza",,,"Oley","PA","19547","Berks",,,"POINT (-75.79343 40.38748)",,,
"Walmart Store #2024","809 HUNTER HWY",,,"TUNKHANNOCK","Pennsylvania","18657","Wyoming",,,"POINT (-75.948302 41.530237)",,,
"Monvale Primary Care-Belle Vernon","800 Plaza Drive","290",,"Belle Vernon","Pennsylvania","15012","Fayette","100","2021-04-13T00:00:00.000","POINT (-79.811385 40.188018)",,,
"Brownsville Family Pharmacy","27 Market St",,,"Brownsville","Pennsylvania","15417","Fayette",,,"POINT (-79.887144 40.022042)",,,
"Weis Pharmacy-4","339 W. Walnut Street",,,"Shamokin","PA","17872","Northumberland",,,"POINT (-76.561627 40.789843)",,,
"CVS PHARMACY #11421","1216 West 6th St",,,"Erie","Pennsylvania","16507","Erie",,,"POINT (-80.111346 42.119865)",,,
"RITE AID STORE #01628","222 Y STREET",,,"DERRY","Pennsylvania","15627","Westmoreland",,,"POINT (-79.299842 40.331721)",,,
"CVS/pharmacy02371","2020 Columbia Avenue",,,"Lancaster","Pennsylvania","17603","Lancaster",,,"POINT (-76.359625 40.038989)",,,
"RITE AID STORE #00216","6 BOCCHICHIO BOULEVARD",,,"MOSCOW","Pennsylvania","18444","Lackawanna",,,"POINT (-75.513334 41.307777)",,,
"RITE AID STORE #01983","102 EASTON ROAD",,,"NAZARETH","Pennsylvania","18064","Northampton",,,"POINT (-75.313537 40.732505)",,,
"CVS/pharmacy07183","730 Newark Road",,,"Landenberg","Pennsylvania","19350","Chester",,,"POINT (-75.751077 39.808072)",,,
"SLUHHN-Sacred Heart Campus","421 Chew St",,,"Allentown","Pennsylvania","18102","Lehigh","2000","2021-04-13T00:00:00.000","POINT (-75.468045 40.607987)",,,
"RITE AID STORE #11064","791 SCRANTON CARBONDALE HWY",,,"EYNON","Pennsylvania","18403","Lackawanna",,,"POINT (-75.578299 41.507345)",,,
"Walmart Store #1792","1102 MILLION DOLLAR HWY",,,"SAINT MARYS","Pennsylvania","15857","Elk",,,"POINT (-78.557971 41.390734)",,,
"PHN-Mercer Primary Care","737 Greenville Road",,,"Mercer","Pennsylvania","16137","Mercer","100","2021-04-13T00:00:00.000","POINT (-80.247945 41.247872)",,,
"Hillcrest Pharm Compounding of Lanc","3985 Columbia Ave",,"Unit 2","Columbia","Pennsylvania","17512","Lancaster","700","2021-04-13T00:00:00.000","POINT (-76.453247 40.036792)",,,
"RITE AID STORE #06738","1201 Blair Street",,,"Hollidaysburg","Pennsylvania","16648","Blair",,,"POINT (-78.38275 40.430435)",,,
"Weis Pharmacy-137","110 Rolling Ridge Drive",,,"State College","PA","16801","Centre",,,"POINT (-77.825981 40.78596)",,,
"RITE AID STORE #01514","404 THIRD STREET",,,"CALIFORNIA","Pennsylvania","15419","Washington",,,"POINT (-79.889582 40.066419)",,,
"CVS/pharmacy01587","202 4th St.",,,"Honesdale","Pennsylvania","18431","Wayne",,,"POINT (-75.25309 41.568698)",,,
"GIANT PHARMACY-6097","1250 COCOA AVENUE",,,"HERSHEY","PA","17033","Dauphin",,,"POINT (-76.64787 40.269063)",,,
"Weis Pharmacy-191","5360 Lincoln Hwy",,,"Gap","Pennsylvania","17527","Lancaster",,,"POINT (-76.017773 39.991633)",,,
"RITE AID STORE #02422","480 WEST BERTSCH STREET",,,"LANSFORD","Pennsylvania","18232","Carbon",,,"POINT (-75.894202 40.827146)",,,
"Weis Pharmacy-67","1130 Mae Street",,,"Hummelstown","PA","17036","Dauphin",,,"POINT (-76.686782 40.270989)",,,
"SLUHHN-Miners","360 W. Ruddle St",,,"Coaldale","Pennsylvania","18218","Schuylkill","900","2021-04-13T00:00:00.000","POINT (-75.914152 40.821619)",,,
"CVS/pharmacy01191","314 Horsham Rd, Unit B",,,"Horsham","Pennsylvania","19044","Montgomery",,,"POINT (-75.134392 40.181192)",,,
"Chester County Pediatrics-Exton","690 West Lincoln Highway",,,"Exton","Pennsylvania","19341","Chester","1000","2021-04-13T00:00:00.000","POINT (-75.663885 40.021548)",,,
"RITE AID STORE #07825","201 DEVINE DRIVE",,,"WEXFORD","Pennsylvania","15090","Allegheny",,,"POINT (-80.090441 40.617256)",,,
"VDI-McLaughlins Drug Store","182 Buchanan Trl","150",,"Mc Connellsburg","Pennsylvania","17233","Fulton",,,"POINT (-77.988223 39.928144)",,,
"RITE AID STORE #00290","500 EAST LANCASTER AVENUE",,,"SHILLINGTON","Pennsylvania","19607","Berks",,,"POINT (-75.958386 40.307421)",,,
"Family First Health-Hannah Penn Center","415 East Boundary Avenue",,,"York","Pennsylvania","17403","York","100","2021-04-13T00:00:00.000","POINT (-76.715296 39.957204)",,,
"Nickmans Drug 149","1238 National Pike",,,"Hopwood","Pennsylvania","15445","Fayette",,,"POINT (-79.699587 39.874089)",,,
"Walgreens Store # 10095","1000 Lincoln Pl.",,,"Greensburg","Pennsylvania","15601","Westmoreland",,,"POINT (-79.578381 40.302705)",,,
"Chalfont Pharmacy Inc","1700 Horizon Dr","105",,"Chalfont","Pennsylvania","18914","Bucks",,,"POINT (-75.218724 40.261072)",,,
"CVS/pharmacy02756","2507 West Chester Pike",,,"Broomall","Pennsylvania","19008","Delaware",,,"POINT (-75.357433 39.981406)",,,
"RITE AID STORE #01685","801 WYOMING AVENUE STE 9",,,"WEST PITTSTON","Pennsylvania","18643","Luzerne",,,"POINT (-75.806409 41.325612)",,,
"Brundages Waymart Pharmacy","238 Belmont Street",,,"Waymart","Pennsylvania","18472","Wayne",,,"POINT (-75.408272 41.582354)",,,
"GIANT PHARMACY-6335","2641 MACARTHUR ROAD",,,"WHITEHALL","PA","18052","Lehigh",,,"POINT (-75.493171 40.645387)",,,
"Weis Pharmacy-169","3011 William Penn Hwy",,,"Easton","PA","18045","Northampton",,,"POINT (-75.261101 40.676903)",,,
"Noxen Medical Center","2888 SR 29 S # 2",,,"Noxen","Pennsylvania","18636","Wyoming","200","2021-04-13T00:00:00.000",,,,
"Mauch Chunk Pharmacy","1204 North Street",,,"Jim Thorpe","Pennsylvania","18229","Carbon","200","2021-04-13T00:00:00.000","POINT (-75.726297 40.881741)",,,
"Giant Eagle Pharmacy-74","1165 McKinney Ln",,,"Pittsburgh","Pennsylvania","15220","Allegheny",,,"POINT (-80.035474 40.423589)",,,
"Weis Pharmacy-20","316 Walnut Street",,,"Newport","PA","17074","Perry",,,"POINT (-77.133362 40.4781)",,,
"VDI-Professional Pharm of Pennsburg Inc","931 Main St",,,"Pennsburg","Pennsylvania","18073","Montgomery","200","2021-04-13T00:00:00.000","POINT (-75.489669 40.38726)",,,
"RITE AID STORE #01494","1120 PHILADELPHIA AVENUE",,,"NORTHERN CAMBRIA","Pennsylvania","15714","Cambria",,,"POINT (-78.78155 40.663348)",,,
"CVS/pharmacy10061","7000 Butler Pike",,,"Ambler","Pennsylvania","19002","Montgomery",,,"POINT (-75.243581 40.139672)",,,
"Walmart Store #1945","1169 S MAIN ST",,,"MANSFIELD","Pennsylvania","16933","Tioga",,,"POINT (-77.069973 41.783288)",,,
"Walmart Store #5888","3400 Hartzdale Dr",,,"Camp Hill","Pennsylvania","17011","Cumberland",,,"POINT (-76.925736 40.224847)",,,
"VDI-Crestwood Pharmacy","10 S Mountain Blvd",,,"Mountain Top","Pennsylvania","18707","Luzerne","200","2021-04-13T00:00:00.000","POINT (-75.886361 41.161562)",,,
"RITE AID STORE #11169","23 NORTH ELM STREET",,,"KUTZTOWN","Pennsylvania","19530","Berks",,,"POINT (-75.767943 40.527415)",,,
"Weis Pharmacy-16","860 Carlisle Street",,,"Hanover","PA","17331","York",,,"POINT (-76.991655 39.812909)",,,
"LGH-New Holland Family Medicine","676 East Main St",,,"New Holland","Pennsylvania","17557","Lancaster","100","2021-04-13T00:00:00.000","POINT (-76.067823 40.109986)",,,
"Wellness Family Pharmacy","3250 Chichester ave",,,"Boothwyn","Pennsylvania","19061","Delaware","300","2021-04-13T00:00:00.000","POINT (-75.442314 39.836868)",,,
"Red Cross Pharmacy","420 Main St",,,"Forest City","Pennsylvania","18421","Susquehanna","100","2021-04-13T00:00:00.000","POINT (-75.469873 41.633375)",,,
"VDI-Lewisburg Pharmacy","50 N 2nd St",,,"Lewisburg","Pennsylvania","17837","Union",,,"POINT (-76.884686 40.966059)",,,
"CVS/pharmacy17680","749 N Krocks Rd",,,"Allentown","PA","18106","Lehigh",,,"POINT (-75.564037 40.565059)",,,
"CVS/pharmacy01805","101 Reecesville Rd.",,,"Coatesville","Pennsylvania","19320","Chester",,,"POINT (-75.790044 40.008115)",,,
"Excela Health WCIM-Greensburg","4000 hempfield plaza blvd","963",,"Greensburg","Pennsylvania","15601","Westmoreland",,,"POINT (-79.582096 40.30995)",,,
"Walmart Store #5356","300 RESORT PLAZA DR",,,"BLAIRSVILLE","Pennsylvania","15717","Indiana",,,"POINT (-79.226792 40.442946)",,,
"RITE AID STORE #07878","1050 NORTHERN BLVD",,,"CLARKS SUMMIT","Pennsylvania","18411","Lackawanna",,,"POINT (-75.693165 41.484878)",,,
"Walmart Store #4643","1500 Economy Way",,,"Baden","Pennsylvania","15005","Beaver",,,"POINT (-80.22661 40.65819)",,,
"Sheehans Pharmacy","79 E. Carey Street",,,"Plains","Pennsylvania","18705","Luzerne",,,"POINT (-75.847328 41.274402)",,,
"Sams Club Pharmacy #4855","261 Wilson Ave",,,"Hanover","Pennsylvania","17331","York",,,"POINT (-76.988925 39.827326)",,,
"Walgreens Store # 10958","30 W. Ridge Pike",,,"Royersford","Pennsylvania","19468","Montgomery",,,"POINT (-75.501548 40.216037)",,,
"Giant Eagle Pharmacy-2421","117 S. Walnut Street",,,"Ligonier","Pennsylvania","15658","Westmoreland",,,"POINT (-79.244318 40.245944)",,,
"Sav-On Pharmacy #703","400 Simpson Dr Unit A",,,"Chester Springs","Pennsylvania","19425","Chester",,,"POINT (-75.688957 40.077484)",,,
"Butler Memorial Hospital","ONE HOSPITAL WAY",,,"Butler","Pennsylvania","16001","Butler","3910","2021-04-13T00:00:00.000",,,,
"Care Options Rx","219 N Baltimore Ave",,,"Mount Holly Springs","Pennsylvania","17065","Cumberland",,,"POINT (-77.189596 40.117566)",,,
"VDI-Mainline Pharm Twp Davidsville","118 North Main Street",,,"Davidsville","Pennsylvania","15928","Somerset","1200","2021-04-13T00:00:00.000","POINT (-78.935961 40.227955)",,,
"Walgreens Store # 11030","10 E. Street Rd.",,,"West Chester","Pennsylvania","19382","Chester",,,"POINT (-75.575532 39.920352)",,,
"RITE AID STORE #11053","1628 SOUTH FOURTH STREET",,,"ALLENTOWN","Pennsylvania","18103","Lehigh",,,"POINT (-75.459005 40.584616)",,,
"RITE AID STORE #01413","155 EAST NORTHAMPTON STREET",,,"WILKES-BARRE","Pennsylvania","18701","Luzerne",,,"POINT (-75.8817 41.240898)",,,
"MEMORIAL HOSPITAL PHARMACY","1701 Innovation Drive",,"Pharmacy - UPMC Memorial Hospital","York","Pennsylvania","17408","York","1000","2021-04-13T00:00:00.000",,,,
